model,strategy_short,total_tokens,total_api_cost,avg_cosine_similarity,avg_rouge_l_f1,avg_self_grade,avg_latency_ms,cosine_per_dollar,sample_count
gpt-4o,Default,46595.0,0.307722,0.539549,0.168649,2.930233,12434.326954,75.394583,43
gpt-4o,Self-Consistency_N3,322488.0,1.536877,0.534306,0.148958,3.069767,39043.225998,14.949234,43
gpt-4o,Self-Consistency_N5,519432.0,2.518928,0.543082,0.150639,3.023256,82584.648665,9.270819,43
gpt-4o,Self-Discover,86511.0,0.554018,0.522246,0.11586,2.790698,12761.524644,40.534093,43
grok-3,Default,73361.0,0.858375,0.559201,0.107344,3.209302,32038.21526,28.012988,43
grok-3,Self-Consistency_N3,525221.0,3.986967,0.567418,0.093338,3.325581,88706.387631,6.11968,43
grok-3,Self-Consistency_N5,858407.0,6.601173,0.564826,0.094529,3.302326,172556.933281,3.679276,43
grok-3,Self-Discover,118992.0,1.305996,0.560737,0.079498,3.232558,23801.757746,18.462286,43
grok-3-mini-beta-high-effort,Default,74121.0,0.033018,0.566667,0.105597,3.219512,50746.107312,737.983902,43
grok-3-mini-beta-high-effort,Self-Consistency_N3,692148.0,0.264569,0.556216,0.067432,3.209302,202655.920977,90.400947,43
grok-3-mini-beta-high-effort,Self-Consistency_N5,1163588.0,0.44673,0.56267,0.066532,3.209302,642867.329342,54.159864,43
grok-3-mini-beta-high-effort,Self-Discover,155668.0,0.070031,0.526453,0.056168,2.97619,119432.377366,315.73312,43
grok-3-mini-beta-low-effort,Default,71965.0,0.03194,0.540497,0.109031,3.302326,26389.549982,727.659223,43
grok-3-mini-beta-low-effort,Self-Consistency_N3,644118.0,0.245296,0.540306,0.073819,3.209302,115656.727375,94.71455,43
grok-3-mini-beta-low-effort,Self-Consistency_N5,1059818.0,0.40516,0.539888,0.074043,3.232558,145574.385998,57.298834,43
grok-3-mini-beta-low-effort,Self-Discover,145377.0,0.064698,0.520781,0.061163,3.209302,31237.706123,346.122434,43
groq-llama-4-maverick,Default,48525.0,0.020962,0.550357,0.163573,3.232558,1514.415187,1128.976034,43
groq-llama-4-maverick,Self-Consistency_N3,321617.0,0.107991,0.540339,0.150425,3.162791,6694.705902,215.153822,43
groq-llama-4-maverick,Self-Consistency_N5,506707.0,0.169397,0.540757,0.153738,3.209302,8488.928734,137.266586,43
groq-llama-4-maverick,Self-Discover,84450.0,0.035069,0.531699,0.115798,3.0,1908.408869,651.941459,43
